Role,Name,Designation
Chairman,Shri Rahulbhai Pithawalla,"Trustee, Navyug Vidyabhavan Trust"
President,Dr. Dhiren P Shah,"Principal, CKPIPSR"
Member Secretary,Dr. Bhumika Desai,"Assoc. Prof., CKPIPSR"
Vice President,Bansari Patel,"Alumni, CKPIPSR"
Treasurer,Mr. Paresh G Shah,Senior Clerk
Ex-Officio Member,Dr. Vinod Ramani,"Assoc. Prof., CKPIPSR"
Faculty Coordinators,Dr.Gautam Sonara,Asst. Prof. CKPIPSR
Faculty Coordinators,Mr. Yahya Moolla,Asst. Prof. CKPIPSR
Representative from student Council,Mitali Patel,"Alumni, CKPIPSR"
Representative from student Council,Madhu Hardik,"Alumni, CKPIPSR"
Representative from student Council,Jayswal Vibha,"Alumni, CKPIPSR"
