Role,Name,Designation
Chairperson,Dr. Dhiren P. Shah,Educational Institutions Head
Member,Mr. Kamlesh Zota,Industry Expert (Industrialist/ innovator/ Investor)
Member,Mr. Haresh H. Korat,Industry Expert/ Alumni (having own Startup/Patent/ Innovation/ Industry)
Member,Mr. Kamal Chapaneria,Finance Expert (CA/CS)
Member,Dr. Vineet C. Jain,Academic Expert-1-Invited
Member,Dr. Hitesh Dalvadi,Academic Expert-2-Invited
Member,Dr. Anish Gandhi,Technical Expert/ IPR Expert
Member,Mr. Tejas Patel,IPR Expert
Member,Mr. Kalp Bhatt,Startup ecosystem expert
Member Secretory,Dr. Vinodkumar D. Ramani,Institutions SSIP Coordinator
