Organization,Name,Website
"Digital Gujarat,Government of Gujarat",Post Matric Scholarship for SC/ST/SEBC/OBC,https://www.digitalgujarat.gov.in/loginapp/CitizenLogin.aspx
"Education Department, Gujarat State.",MYSY (Mukhyamantri Yuva Svavlamban Yojna),https://mysy.guj.nic.in/
Glow & Lovely Careers,Glow & Lovely Foundation Scholarships (Girls),https://www.glowandlovelycareers.in/en/scholarship-for-women
L’Oréal India,L'oréal India for Young Women in Science Scholarships (Girls),https://www.buddy4study.com/article/loreal-india-for-young-women-in-science-scholarship
AICTE,Pragati & Saksham Scholarship (Girls),https://www.aicte-pragati-saksham-gov.in/
AICTE,GPAT Scholarship for Masters,https://www.aicte-india.org/schemes/students-development-schemes/PG-Scholarship-Scheme
ONGC Foundation,ONGC Foundation Scholarship Scheme for OBC Category Students,https://ongcscholar.org/#/fellowshipScheme
"Ministry of Social Justice & Empowerment, Govt. of India",NSP Top Class Education Scheme for SC Students,https://www.buddy4study.com/scholarship/top-class-education-scheme-for-sc-students
"Ministry of Education, Govt. of India",Central Sector Scheme of Scholarship for College and University Students,https://www.education.gov.in/hi/scholarships-education-loan-0-hi
"North South Foundation, India chapter",NSF Scholarship,https://northsouth.org/public/IndiaScholarships/Scholarships
Reliance Foundation,Dhirubhai Ambani Scholarship,https://das.reliancefoundation.org/
Vidyadhan India,Vidyadhan Scholarship,https://www.vidyadhan.org/web/index.php
"HDFC Bank, India",HDFC Scholarship,https://www.buddy4study.com/page/hdfc-bank-parivartans-ecs-scholarship
UGC,Post Graduate Indira Gandhi Scholarship for Single Girl Child,https://www.ugc.ac.in/oldpdf/xiplanpdf/revisedig_sgc_guideline24aug09.pdf
Sitaram Jindal Foundation,Sitaram Jindal Foundation Scholarship,https://www.sitaramjindalfoundation.org/scholarships-for-students-in-bangalore.php
