Role,Name,Designation
President,Dr.Dhiren P Shah,"Principal, CKPIPSR"
Vice President,Feral Modi,"Alumni, CKPIPSR"
Secretary,Manish Solanki,"Alumni, CKPIPSR,"
Treasurer,"Hiren Thakkar,","Alumni, CKPIPSR"
Program Committee,"Jaya Indave,","Alumni, CKPIPSR"
Campaigning Committee,Dipayan Tarafder,Asst. Prof. CKPIPSR
Alumni Talk series Committee,Dr. Gautam Sonara,Asst. Prof. CKPIPSR
Alumni Talk series Committee,Mr. Yahya Moolla,Asst. Prof. CKPIPSR
Alumni membership and networking drive,Dr. Bhumika Desai,"Assoc. Prof., CKPIPSR"
Fund Raising Committee,Dr. Vinod Ramani,"Assoc. Prof., CKPIPSR"
